id,path,obj,load_time,calc_time,solver_time,python_time,iter_nr
0,batch.nl,285506.5082441529,0,0.28131867572665215,0.24392900000000167,0,0
1,batch0812.nl,2687026.7842479367,0,1.3968832744285464,0.5581770000000116,0,0
2,batchdes.nl,167427.65711474538,0,0.07231346424669027,0.06137699999999996,0,0
3,clay0203hfsg.nl,41573.26252221283,0,5.881175769492984,1.509586999999963,0,0
4,clay0204hfsg.nl,6545.000000000707,0,20.93626103643328,6.393969999998204,0,0
5,clay0205hfsg.nl,8092.500000000955,0,302.9323520520702,98.05686099988861,0,0
6,clay0303hfsg.nl,26669.109572486403,0,7.253073371946812,1.9490380000001508,0,0
7,clay0304hfsg.nl,40262.38753060858,0,97.51774627715349,28.290127999980584,0,0
8,clay0305hfsg.nl,8320.0000000009,0,302.7536187181249,101.98047099996293,0,0
9,cvxnonsep_normcon20.nl,-21.749147363703806,0,0.032731592655181885,0.038281,0,0
10,cvxnonsep_normcon30.nl,-34.24396574092516,0,0.05248631536960602,0.09704499999999999,0,0
11,cvxnonsep_normcon40.nl,-32.629669716769314,0,0.07080560084432364,0.16576300000000005,0,0
12,cvxnonsep_nsig20.nl,80.94929545987223,0,0.04136878065764904,0.04750599999999999,0,0
13,cvxnonsep_nsig20r.nl,80.9492954596234,0,0.04646598547697067,0.04117,0,0
14,cvxnonsep_nsig30.nl,130.62871264096864,0,0.05923274718225002,0.10607000000000001,0,0
15,cvxnonsep_nsig30r.nl,156.42667285391616,0,0.07904196437448263,0.08656400000000017,0,0
16,cvxnonsep_nsig40.nl,133.96133047158767,0,0.07919127494096756,0.19080800000000006,0,0
17,cvxnonsep_nsig40r.nl,133.9613304719259,0,0.08142508938908577,0.09649899999999993,0,0
18,cvxnonsep_pcon20.nl,-21.500522852152997,0,0.038420652970671654,0.048122,0,0
19,cvxnonsep_pcon20r.nl,-21.50052285200933,0,0.03578981477767229,0.041863,0,0
20,enpro48pb.nl,187277.25942219957,0,5.1830393970012665,2.541075000000003,0,0
21,enpro56pb.nl,263428.30097276496,0,7.723541612736881,3.4058730000000703,0,0
22,ex1223.nl,4.579582402486655,0,0.05165221355855465,0.041718000000000005,0,0
23,ex1223b.nl,4.5795824024866585,0,0.04498013202100992,0.030333999999999972,0,0
24,fac1.nl,160912612.35017818,0,0.02561672404408455,0.024391000000000003,0,0
25,fac2.nl,331837498.1767665,0,0.4962905431166291,0.27027100000000637,0,0
26,flay02h.nl,37.9473319221309,0,0.07799425441771746,0.08127700000000002,0,0
27,flay02m.nl,37.947331922051006,0,0.03858498949557543,0.021791999999999992,0,0
28,flay03h.nl,48.98979485582156,0,1.2379832984879613,0.322084999999993,0,0
29,flay03m.nl,48.989794855791104,0,0.3108193213120103,0.09014100000000154,0,0
30,flay04h.nl,54.4058820351743,0,45.07800706382841,14.075948999990715,0,0
31,flay04m.nl,54.4058820351097,0,7.298294892534614,1.3225830000003054,0,0
32,flay05h.nl,64.49806198673096,0,303.8319601668045,102.91121499992845,0,0
33,flay05m.nl,64.49806198661507,0,307.0376608222723,67.1560829997847,0,0
34,flay06h.nl,66.93280212296862,0,302.91506929229945,95.05070999987986,0,0
35,flay06m.nl,66.93280212297259,0,306.1523004276678,62.66995899965592,0,0
36,fo7.nl,34.778091737680015,0,303.593634323217,95.75846400007765,0,0
37,fo7_2.nl,36.28433228889465,0,303.6747903348878,95.60063700002672,0,0
38,fo7_ar25_1.nl,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 59, 60, 61,
       62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]),)"
39,fo7_ar2_1.nl,-inf,FAILED,"Error in Function::call for 'minlp' [BonminInterface] at .../casadi/core/function.cpp:1432:
Error in Function::call for 'minlp' [BonminInterface] at .../casadi/core/function.cpp:361:
.../casadi/interfaces/bonmin/bonmin_interface.cpp:477: Uncaught error in Bonmin"
