name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time
o7,131.6531381,157.37966574617295,0,304.13571877777576,105.64731264900097,0,0,-inf,FAILED,"Objective value wrong, with error 124.64838794693398
Ubg < g(x*,p) - tol:
[1.60315339e-01 5.44392105e-02 1.48319584e-02 3.62612725e-02
 4.35886445e-03 7.98528232e-03 4.47053115e-01 2.13486749e-01
 1.99551925e-01 4.00870145e-01 7.69625762e-11 2.01799532e-06]
for indices:
(array([ 2,  3,  4,  5,  8,  9, 10, 11, 12, 13, 22, 61]),)",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-inf,FAILED,"Objective value wrong, with error 0.001080952508457107
Ubg < g(x*,p) - tol:
[1.60315339e-01 5.44392105e-02 1.48319584e-02 3.62612725e-02
 4.35886445e-03 7.98528232e-03 4.47053115e-01 2.13486749e-01
 1.99551925e-01 4.00870145e-01 7.69625762e-11 2.01799532e-06]
for indices:
(array([ 2,  3,  4,  5,  8,  9, 10, 11, 12, 13, 22, 61]),)",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,131.65301327259772,130.3374479903523,289.869893613,22,0000,50,134.6782212259077,95.9815270314253,300.054574,131.6603262739896,91.73281335318055,300.59136900000004
o7_2,116.9459316,196.86496301639266,0,303.9153976114467,102.08531019200058,0,0,119.07026417591649,118.16822994048724,0.16634589480236173,300.3559016129002,298.30041698692366,2.0554846259765327,7,29,22,5,3,123.98083902924536,123.93933519399212,0.16384012810885906,155.83177891606465,155.25126553699374,0.5805133790709078,4,16,14,4,0,116.94590713844377,116.94590713844377,134.293909346,8,0010,70,116.9459313490928,96.46341223060764,300.06477,116.94593048420897,84.10250988900611,300.459758
o7_ar25_1,140.4119583,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 59, 60, 61,
       62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]),)",NAN,NAN,NAN,140.41195729808422,139.89707712925178,0.2061359821818769,291.83836430404335,290.52674521366134,1.3116190903820097,4,16,3,4,3,147.51799766092728,147.51799766092728,0.19963251380249858,16.60634307283908,16.456305875908583,0.15003719693049788,2,6,2,2,0,140.41190577149021,140.41190577149021,257.506076209,12,0010,80,140.4119588055322,139.0143910148837,238.864587,140.4119572356029,139.4599315371578,284.414691
o7_ar2_1,140.4119583,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 59, 60, 61,
       62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]),)",NAN,NAN,NAN,140.41195730602442,140.41195784688767,0.20767309935763478,106.32350238366053,105.84765325067565,0.47584913298487663,3,10,4,2,2,140.41195730602442,140.4119572998933,0.19185256818309426,12.360428191255778,12.194152824115008,0.16627536714076996,2,6,0,2,0,140.41195448060077,140.41195448060074,63.468023439,10,0010,10,140.41195876391984,139.012024250178,64.432226,140.4119572617613,139.7528775673852,90.661257
o7_ar3_1,137.931839,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 59, 60, 61,
       62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]),)",NAN,NAN,NAN,138.86489124151078,138.30092928925671,0.20611670706421137,300.3834549211897,298.2760357116349,2.1074192095547915,6,22,11,5,2,145.81638539642313,146.45428880570827,0.19772331276908517,157.89565409580246,157.19338805833831,0.7022660374641418,4,12,10,4,0,137.93183187749335,120.95012313781925,300.035899569,15,1000,20,137.93183891691254,116.7165323488555,300.04407599999996,138.197747527317,103.0479882245685,300.589356
o7_ar4_1,131.6531381,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 59, 60, 61,
       62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]),)",NAN,NAN,NAN,145.51091046869536,131.0725172399459,0.21263451501727104,300.367595249787,298.8055405821651,1.562054667621851,6,26,23,2,5,145.51091046869536,145.51091046869536,0.20050801197066903,8.957317071035504,8.806131488643587,0.1511855823919177,2,6,3,2,0,131.65312589337105,112.10522871122011,300.033190247,21,1000,20,135.11973631410604,108.6341812745603,300.04744800000003,134.67821971244572,95.42156742076739,300.544617
o7_ar5_1,116.9458471,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 59, 60, 61,
       62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]),)",NAN,NAN,NAN,118.23619924987918,115.34440917851825,0.2117798081599176,300.37154069775715,298.5410423884168,1.830498309340328,6,23,17,4,3,118.2361991791059,146.64890320696952,0.19498514709994197,121.95509956870228,121.24830336961895,0.7067961990833282,4,13,9,4,0,116.94584373736997,116.94584373736997,296.530534862,6,0010,30,118.76653588355101,98.92915863810079,300.04636800000003,116.94584570438113,90.5932615033738,300.277762
o8_ar4_1,243.0707486,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]
 [14  0]
 [15  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999]
for indices:
(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 75,
       76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]),)",NAN,NAN,NAN,243.07074551698796,243.07059926632144,0.3306855750270188,245.91953255515546,244.29558146605268,1.6239510891027749,4,16,10,4,1,243.07074551698796,243.0707455045633,0.3126211673952639,185.35468340385705,184.23579637194052,1.118887031916529,4,16,10,4,0,246.86843512698462,174.75886182322981,300.00090739399997,24,1000,10,259.8996786125252,171.8186162364867,300.067489,243.07074571604699,161.677467407298,300.529132
o9_ar4_1,236.1384562,-inf,FAILED,"Objective value wrong, with error 1e+50
Lbx > x* for indices:
[[ 0  0]
 [ 1  0]
 [ 2  0]
 [ 3  0]
 [ 4  0]
 [ 5  0]
 [ 6  0]
 [ 7  0]
 [ 8  0]
 [ 9  0]
 [10  0]
 [11  0]
 [12  0]
 [13  0]
 [14  0]
 [15  0]
 [16  0]
 [17  0]]
Ubg < g(x*,p) - tol:
[       inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
        inf        inf        inf        inf        inf        inf
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999
 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999 1.99999999]
for indices:
(array([  0,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,
        13,  14,  15,  16,  17,  93,  94,  95,  96,  97,  98,  99, 100,
       101, 102, 103, 104, 105, 106, 107, 108, 109, 110]),)",NAN,NAN,NAN,-inf,FAILED,"Objective value wrong, with error 242.81930369971994
Ubg < g(x*,p) - tol:
[1.04691464e-02 3.64157178e-02 1.11114833e-01 3.57150077e-02
 2.02299513e-02 6.58602802e-03 3.45675407e-03 1.17321277e-02
 1.75949429e-03 6.13008586e-03 9.60912498e-04 3.65392092e-04
 3.45674615e-03 1.17321008e-02 7.50000750e-06 7.50000750e-06]
for indices:
(array([  0,   1,   2,   3,   4,   5,  10,  11,  12,  13,  14,  15,  16,
        17, 125, 322]),)",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-inf,FAILED,"Objective value wrong, with error 0.010743064464688564
Ubg < g(x*,p) - tol:
[1.04691464e-02 3.64157178e-02 1.11114833e-01 3.57150077e-02
 2.02299513e-02 6.58602802e-03 3.45675407e-03 1.17321277e-02
 1.75949429e-03 6.13008586e-03 9.60912498e-04 3.65392092e-04
 3.45674615e-03 1.17321008e-02 7.50000750e-06 7.50000750e-06]
for indices:
(array([  0,   1,   2,   3,   4,   5,  10,  11,  12,  13,  14,  15,  16,
        17, 125, 322]),)",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,275.4121761522772,156.51734994294077,300.000261317,28,1000,40,270.91368956742537,165.7636666781874,300.078268,326.7782467126939,142.7764769632876,300.529255
p_ball_10b_5p_2d_h,18.71857799,18.71857798796891,0,43.877042880281806,17.295459000004417,0,0,18.718577685919676,18.703530237991654,0.3165007699280977,51.45402063522488,20.661268065217882,30.792752570006996,21,84,24,8,20,42.43447781596047,635.0325060697053,0.3080755276605487,1.0259317536838353,0.8601945708505809,0.16573718283325434,2,5,3,2,0,18.718576319602438,0,33.841715952,32,00300,00,18.718578180713536,18.5344884199591,10.807729,18.71857794877038,18.71857794877039,13.482783
p_ball_10b_5p_3d_h,44.00421681,44.00421680539977,0,44.647503049112856,33.032871000009145,0,0,44.004216501016806,43.96490574461082,0.5897679757326841,99.21706468099728,53.47077975934371,45.74628492165357,25,103,29,5,24,62.879101249887356,70520275.89397961,0.5629771603271365,1.2021973780356348,0.9808086548000574,0.22138872323557734,2,4,2,2,0,44.004213613890443,0,182.87172848,69,00660,00,44.004216834856194,43.56423002688099,43.430688,44.0042167291768,44.0042167291768,40.406518
p_ball_10b_5p_4d_h,71.37194798,71.37194798261878,0,99.48988541588187,60.82136499998114,0,0,71.37194764865797,70.17413985765701,0.8962498661130667,307.2823650040664,114.3599623371847,192.92240266688168,44,185,44,5,43,81.3242141027648,81.3242141027648,0.8501467239111662,4.312815237324685,4.04206209955737,0.2707531377673149,2,5,2,2,0,73.072415509688767,0,306.76046521999996,81,210770,00,85.05558474411617,85.05558474411617,3.772208,71.37194791585186,71.01701288368278,86.979239
p_ball_10b_7p_3d_h,109.8032151,-inf,FAILED,"Error in Function::call for 'minlp' [BonminInterface] at .../casadi/core/function.cpp:1432:
Error in Function::call for 'minlp' [BonminInterface] at .../casadi/core/function.cpp:361:
.../casadi/interfaces/bonmin/bonmin_interface.cpp:477: Uncaught error in Bonmin",NAN,NAN,NAN,109.98557772607204,109.98557772607202,1.302166284993291,313.0422541080043,230.59455889789388,82.4476952101104,22,105,85,10,15,121.83082380277558,86487182.64713557,1.2085200008004904,45.73431495996192,36.76485290704295,8.96946205291897,8,36,34,8,0,135.84789643218554,0,311.627797585,46,210420,00,109.80321497888431,107.0327535635457,300.023327,109.8606306102086,65.9012995991837,300.36424700000003
