name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.calctime,cvx_shot.nr_milp,cvx_shot.nr_nlp
batch,285506.5082,285506.5082441529,0,0.28131867572665215,0.24392900000000167,0,0,300804.8921397765,300804.8921397765,1.2919772416353226e-06,0.419819672126323,0.233719729,0.47721897531300783,3,4,0,4,1,323742.1273360562,324506.67598252045,7.42962583899498e-07,0.22064819606021047,0.248562444,0.2785694836638868,2,4,0,3,0,285506.91057224385,0.110934329,39,3
batch0812,2687026.784,2687026.7842479367,0,1.3968832744285464,0.5581770000000116,0,0,2836593.013029522,2836593.013029522,0.18558923993259668,1.7399571631103754,0.5315116259999999,1.1440937512088567,3,6,0,4,2,2836593.013029522,2863756.982863471,0.18115003197453916,0.4743448528461158,0.525777105,0.6358485005330294,2,4,1,3,0,2705842.8525372744,0.31709796199999996,29,8
batchdes,167427.6571,167427.65711474538,0,0.07231346424669027,0.06137699999999996,0,0,178545.1945508755,178545.1945508755,0.019309233874082565,0.047579752979800105,0.039911,0.04092841688543558,1,2,0,2,1,178545.1945508755,178545.1945508755,0.0195752561558038,0.036746985046193004,0.030583,0.04168340074829757,1,2,0,2,0,167427.73779460439,0.047965545,9,2
clay0203hfsg,41573.26252,41573.26252221283,0,5.881175769492984,1.509586999999963,0,0,41573.2625037516,41363.44751460203,0.100978011963889,3.674688485916704,1.1064982360000002,8.6512265750207,8,16,13,7,3,41907.460309547285,41907.460309547285,0.10069364286027849,1.4681634861044586,1.126079538,2.902299494249746,4,14,11,5,0,41573.072310041483,0.274896144,4,3
clay0204hfsg,6545.0,6545.000000000707,0,20.93626103643328,6.393969999998204,0,0,6544.999962872764,6544.96781501024,0.2741404811386019,2.520413331221789,2.2704265379999993,3.689645585604012,3,15,7,4,1,6544.999962872769,6544.999962762632,0.2693830239586532,2.2898454831447452,2.2375837989999936,3.1701718342956156,2,10,5,3,0,6544.9998820007277,1.003186833,4,4
clay0205hfsg,8092.5,8092.500000000955,0,302.9323520520702,98.05686099988861,0,0,8092.499956870352,8092.465934599919,0.645895445952192,13.503854237962514,14.198278662000002,4.370968927163631,2,9,0,3,2,8092.499956870159,8092.499956870352,0.6516293520107865,2.672032189089805,3.456192447,2.471764948219061,1,5,0,2,0,8092.499859901237,3.778141318,4,3
clay0303hfsg,26669.10957,26669.109572486403,0,7.253073371946812,1.9490380000001508,0,0,26669.10955101354,26668.981117853622,0.12954418314620852,4.922664310084656,1.3641286240000001,11.40258937748149,7,24,19,7,3,41709.76921886916,41709.76921886916,0.12941620987839997,1.93312900303863,1.298911162,3.6934681141283363,4,18,16,5,0,26669.092175553928,0.979395187,13,5
clay0304hfsg,40262.38753,40262.38753060858,0,97.51774627715349,28.290127999980584,0,0,40262.38749701275,40245.05099804132,0.33169373893179,21.985556359868497,4.774274511999999,54.64081968436949,10,41,33,9,4,40262.38749701294,40262.38749701294,0.32148768194019794,4.269267069874331,2.5609315780000004,10.64224390918389,5,22,20,6,0,40262.387440997947,4.831015237,9,10
clay0305hfsg,8092.5,8320.0000000009,0,302.7536187181249,101.98047099996293,0,0,8092.4999566980505,8084.980994999845,0.7569064782001078,12.174547734903172,11.626089405000004,13.792878754902631,3,12,4,4,1,8092.499956870221,8092.499956870221,0.7491061671171337,3.1950525569263846,3.9152183210000007,3.028859522892162,1,5,0,2,0,8092.4998599011451,6.820155356,15,8
cvxnonsep_normcon20,-21.74914736,-21.749147363703806,0,0.032731592655181885,0.038281,0,0,-21.7491473846331,-21.82222547389317,0.020771045004948974,0.0299214709084481,0.026428,0.03719061682932079,1,2,0,2,0,-21.7491473846331,-21.82222547389317,0.02068728720769286,0.030547015136107802,0.028228000000000003,0.037971883080899715,1,2,0,2,0,-21.719247990639417,0.021526086,0,0
