name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.calctime,cvx_shot.nr_milp,cvx_shot.nr_nlp
batch,285506.5082,285506.5082441529,0,0.28131867572665215,0.24392900000000167,0,0,300804.8921397765,300804.8921397765,8.773058652877808e-07,0.4228972848504782,0.279436756,0.4754691757261753,3,4,0,4,1,323742.1273360562,324506.67598252045,9.51811671257019e-07,0.22117234766483307,0.24409744400000002,0.2802537977695465,2,4,0,3,0,285506.91057224385,0.110934329,39,3
batch0812,2687026.784,2687026.7842479367,0,1.3968832744285464,0.5581770000000116,0,0,2836593.013029522,2836593.013029522,0.20506543293595314,1.7862887475639582,0.544976268,1.290338134393096,3,6,0,4,2,2836593.013029522,2863756.982863471,0.18363820388913155,0.5146772116422653,0.540126466,0.7127946130931377,2,4,1,3,0,2705842.8525372744,0.31709796199999996,29,8
batchdes,167427.6571,167427.65711474538,0,0.07231346424669027,0.06137699999999996,0,0,178545.1945508755,178545.1945508755,0.02602200210094452,0.049080315977334976,0.041822,0.04180745966732502,1,2,0,2,1,178545.1945508755,178545.1945508755,0.019048132002353668,0.03741334192454815,0.031457,0.04175510257482529,1,2,0,2,0,167427.73779460439,0.047965545,9,2
clay0203hfsg,41573.26252,41573.26252221283,0,5.881175769492984,1.509586999999963,0,0,41573.2625037516,41363.44751460203,0.10176149941980839,3.7127574868500233,1.117267299,9.047770109027624,8,16,13,7,3,41907.460309547285,41907.460309547285,0.10218709893524647,1.4726914092898369,1.162807084,2.914573598653078,4,14,11,5,0,41573.072310041483,0.274896144,4,3
clay0204hfsg,6545.0,6545.000000000707,0,20.93626103643328,6.393969999998204,0,0,6544.999962872764,6544.96781501024,0.27458792738616467,2.529212409630418,2.2827612360000002,3.7146764174103737,3,15,7,4,1,6544.999962872769,6544.999962762632,0.2700317073613405,2.2445796746760607,2.2222027369999933,3.088021494448185,2,10,5,3,0,6544.9998820007277,1.003186833,4,4
clay0205hfsg,8092.5,8092.500000000955,0,302.9323520520702,98.05686099988861,0,0,8092.499956870352,8092.465934599919,0.6500409580767155,13.477798264473677,14.173279558,4.36554123647511,2,9,0,3,2,8092.499956870159,8092.499956870352,0.6481441371142864,2.6590848118066788,3.447734405,2.46218522451818,1,5,0,2,0,8092.499859901237,3.778141318,4,3
clay0303hfsg,26669.10957,26669.109572486403,0,7.253073371946812,1.9490380000001508,0,0,26669.10955101354,26668.981117853622,0.13068039529025555,4.773943264037371,1.345249647,10.781247738748789,7,24,19,7,3,41709.76921886916,41709.76921886916,0.12866711989045143,1.9657520409673452,1.2769121030000001,3.857750117778778,4,18,16,5,0,26669.092175553928,0.979395187,13,5
clay0304hfsg,40262.38753,40262.38753060858,0,97.51774627715349,28.290127999980584,0,0,40262.38749701275,40245.05099804132,0.32727668434381485,21.933952130377293,4.704796569,54.66134251654148,10,41,33,9,4,40262.38749701294,40262.38749701294,0.31955532543361187,4.2953267358243465,2.6033536269999997,10.720665782690048,5,22,20,6,0,40262.387440997947,4.831015237,9,10
clay0305hfsg,8092.5,8320.0000000009,0,302.7536187181249,101.98047099996293,0,0,8092.4999566980505,8084.980994999845,0.7614214699715376,12.1483906917274,11.643337212,13.736606715247035,3,12,4,4,1,8092.499956870221,8092.499956870221,0.7596976924687624,3.2227642573416233,3.844179794000001,3.0499748773872852,1,5,0,2,0,8092.4998599011451,6.820155356,15,8
cvxnonsep_normcon20,-21.74914736,-21.749147363703806,0,0.032731592655181885,0.038281,0,0,-21.7491473846331,-21.82222547389317,0.027241172268986702,0.02989434264600277,0.025977999999999998,0.03729567304253578,1,2,0,2,0,-21.7491473846331,-21.82222547389317,0.02368623949587345,0.035037774592638016,0.030085,0.043292516842484474,1,2,0,2,0,-21.719247990639417,0.021526086,0,0
cvxnonsep_normcon30,-34.24396574,-34.24396574092516,0,0.05248631536960602,0.09704499999999999,0,0,-34.09190757350222,-34.428749859066556,0.018757736310362816,21.732875771820545,3.6581185279999997,1237.4546230882406,151,302,120,123,30,-33.9875120670215,-34.281348953713525,0.02054298110306263,14.443861091509461,1.5273958060000004,732.2709115706384,130,255,115,131,0,-34.243965742743029,0.028475537,0,1
cvxnonsep_normcon40,-32.62966972,-32.629669716769314,0,0.07080560084432364,0.16576300000000005,0,0,-32.5596697474825,-32.88554272835089,0.03191627562046051,66.28447701223195,13.805283185999999,4478.094195872545,224,605,134,114,111,-32.436652102541586,-32.72391527109604,0.02541283145546913,31.953754886984825,3.453869949999997,2348.3300923518836,202,336,181,203,0,-32.629669718429504,0.033069458,0,1
